"population","violent","murder","rape","Aggravatedassault","robbery","burglary","Propertycrime","Motorvehicletheft","Larceny-theft","even 7"
"Alameda","589","8","30","204","347","2,195","490","1,104","601","20"
"Butte","183","3","34","28","118","1,344","656","666","22","0"
"Contra Costa","347","9","25","108","205","1,485","505","957","23","20"
"El Dorado","291","1","53","37","200","2,085","512","1,534","39","5"
"Fresno","1,177","12","29","82","1,054","3,798","1,625","1,468","705","170"
"Imperial","161","2","8","12","139","453","129","298","26","9"
"Kern","2,403","44","177","443","1,739","10,440","3,161","5,109","2,170","281"
"Kings","157","4","16","16","121","426","164","236","26","4"
"Los Angeles","6,124","94","307","1,474","4,249","17,498","3,816","9,328","4,354","227"
"Madera","434","4","28","19","383","1,102","517","568","17","2"
"Marin","72","3","4","19","46","730","172","554","4","1"
"Merced","542","2","18","33","489","1,541","601","886","54","8"
"Monterey","286","11","18","54","203","1,377","303","1,041","33","11"
"Napa","61","0","7","8","46","270","93","175","2","0"
"Orange","229","0","20","30","179","1,123","213","765","145","11"
"Placer","261","1","33","34","193","1,539","471","1,040","28","8"
"Riverside","841","28","56","177","580","7,651","1,695","4,630","1,326","22"
"Sacramento","2,797","42","155","880","1,720","10,142","3,062","6,943","137","68"
"San Benito","39","1","6","4","28","126","64","52","10","1"
"San Bernardino","924","12","88","151","673","5,235","1,525","2,513","1,197","54"
"San Diego","1,422","29","115","206","1,072","4,617","1,131","2,656","830","26"
"San Joaquin","793","7","26","174","586","3,072","826","2,106","140","19"
"San Luis Obispo","356","0","21","16","319","1,384","441","920","23","10"
"San Mateo","298","1","57","64","176","2,843","454","2,089","300","9"
"Santa Barbara","265","4","49","32","180","1,639","476","1,146","17","7"
"Santa Clara","316","4","46","15","251","1,312","260","826","226","5"
"Santa Cruz","285","1","36","44","204","2,050","485","1,533","32","14"
"Shasta","519","5","58","22","434","962","451","471","40","23"
"Solano","92","1","2","17","72","312","115","139","58","9"
"Sonoma","583","3","91","48","441","1,450","494","937","19","12"
"Stanislaus","470","11","42","134","283","1,821","726","1,034","61","14"
"Sutter","88","1","7","6","74","618","235","329","54","2"
"Tulare","350","19","28","62","241","2,074","756","1,318","0","1"
"Ventura","171","2","29","19","121","767","224","467","76","11"
"Yolo","56","0","8","7","41","248","69","158","21","4"
"Yuba","210","3","11","32","164","1,086","335","744","7","18"
"Alpine","6","0","0","0","6","34","7","26","1","0"
"Amador","53","0","6","8","39","371","142","225","4","3"
"Calaveras","169","3","26","16","124","535","183","341","11","0"
"Colusa","31","0","2","6","23","186","78","108","0","0"
"Del Norte","115","0","30","11","74","355","251","96","8","7"
"Glenn","34","1","0","1","32","159","60","96","3","1"
"Humboldt","265","9","22","57","177","773","366","385","22","4"
"Inyo","85","0","7","5","73","158","67","84","7","1"
"Lake","179","2","17","15","145","635","337","283","15","11"
"Lassen","43","1","4","2","36","202","87","114","1","0"
"Mariposa","80","0","12","1","67","217","53","161","3","0"
"Mendocino","346","7","42","19","278","477","246","228","3","5"
"Modoc","19","1","3","0","15","44","9","35","0","0"
"Mono","16","1","2","1","12","51","20","31","0","0"
"Nevada","80","5","4","5","66","697","285","395","17","3"
"Plumas","120","2","10","6","102","335","120","207","8","1"
"Sierra","14","0","0","0","14","26","8","18","0","1"
"Siskiyou","52","2","5","2","43","225","118","102","5","1"
"Tehama","163","3","6","12","142","371","235","130","6","2"
"Trinity","65","3","3","6","53","234","101","133","0","0"
"Tuolumne","159","1","45","9","104","737","350","377","10","6"
