"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson1"
"1",1,"Adelanto","28,719","153",5,"7","33","108","758","354","308","96","11"
"2",2,"Agoura Hills","22,966","49",0,"3","9","37","348","76","254","18","6"
"3",3,"Alameda","70,445","205",2,"9","106","88","1,976","304","1,427","245","17"
"4",4,"Albany","15,889","45",0,"3","33","9","776","173","474","129","3"
"5",5,"Alhambra","87,729","285",1,"8","192","84","2,120","426","1,301","393","16"
"6",6,"Aliso Viejo","41,691","31",1,"5","8","17","526","88","405","33","2"
"7",7,"Alturas","2,924","5",1,"0","0","4","90","28","58","4","2"
"8",8,"American Canyon","17,053","51",3,"1","14","33","433","100","283","50","2"
"9",9,"Anaheim","335,133","1,423",17,"96","581","729","8,798","1,827","5,695","1,276","41"
"10",10,"Anderson","10,629","45",1,"4","3","37","438","107","310","21","3"
"11",11,"Antioch","101,973","860",10,"27","411","412","3,122","1,027","1,146","949","50"
"12",12,"Apple Valley","71,211","269",2,"22","78","167","1,902","535","1,117","250","16"
"13",13,"Arcadia","56,967","156",2,"9","71","74","1,704","375","1,183","146","1"
"14",14,"Arcata","16,929","51",0,"4","10","37","524","146","353","25",""
"15",15,"Arroyo Grande","16,485","26",0,"8","3","15","366","46","300","20","1"
"16",16,"Artesia","16,607","86",1,"4","43","38","345","98","183","64","5"
"17",17,"Arvin","15,228","105",0,"2","25","78","643","146","397","100","30"
"18",18,"Atascadero","27,465","106",1,"11","8","86","565","140","400","25","18"
"19",19,"Atherton","7,307","12",0,"0","2","10","205","34","167","4","2"
"20",20,"Atwater","27,762","103",1,"8","22","72","1,021","260","681","80","8"
"21",21,"Auburn","13,072","49",0,"2","5","42","373","72","260","41","2"
"22",22,"Avalon","3,325","39",0,"2","5","32","162","41","82","39","1"
"23",23,"Avenal","17,175","44",0,"2","8","34","133","44","76","13",""
"24",24,"Azusa","47,403","206",1,"11","56","138","1,273","207","818","248","8"
"25",25,"Bakersfield","318,743","1,961",15,"41","629","1,276","16,058","3,537","9,853","2,668","91"
"26",26,"Baldwin Park","78,943","281",8,"15","105","153","1,914","392","814","708","16"
"27",27,"Banning","30,163","209",1,"11","50","147","769","295","367","107","0"
"28",28,"Barstow","23,957","337",3,"21","72","241","1,209","402","621","186","15"
"29",29,"Bear Valley","4,567","1",0,"0","0","1","28","13","14","1","0"
"30",30,"Beaumont","30,093","46",0,"0","20","26","660","125","415","120","0"
"31",31,"Bell","37,420","175",3,"14","82","76","581","171","231","179",""
"32",32,"Bellflower","74,544","507",5,"25","244","233","2,524","539","1,297","688","13"
"33",33,"Bell Gardens","45,451","218",6,"19","81","112","862","198","322","342","4"
"34",34,"Belmont","24,605","24",0,"6","6","12","357","57","260","40","9"
"35",35,"Belvedere","2,065","1",0,"0","0","1","22","6","13","3","0"
"36",36,"Benicia","26,544","57",1,"5","22","29","475","153","260","62","13"
"37",37,"Berkeley","101,343","639",5,"24","431","179","7,116","1,172","4,949","995","29"
"38",38,"Beverly Hills","35,133","157",0,"15","81","61","1,169","284","833","52","4"
"39",39,"Big Bear Lake","6,276","42",0,"7","4","31","286","95","169","22","1"
"40",40,"Biggs","1,802","22",0,"1","1","20","41","11","23","7","0"
"41",41,"Bishop","3,566","30",0,"0","4","26","178","40","132","6","0"
"42",42,"Blue Lake","1,110","4",0,"1","0","3","61","18","39","4","1"
"43",43,"Blythe","22,696","99",1,"6","17","75","593","212","349","32","24"
"44",44,"Bradbury","1,067","0",0,"0","0","0","13","5","7","1","0"
"45",45,"Brawley","22,666","64",1,"5","23","35","1,162","368","677","117","11"
"46",46,"Brea","39,041","77",0,"4","40","33","1,513","207","1,194","112","7"
"47",47,"Brentwood","52,238","124",0,"9","44","71","1,271","259","880","132","27"
"48",48,"Brisbane","3,575","10",0,"0","3","7","129","22","94","13","0"
"49",49,"Broadmoor","4,345","16",0,"1","5","10","77","36","28","13","3"
"50",50,"Buellton","4,345","11",0,"1","2","8","100","19","74","7","1"
"51",51,"Buena Park","79,890","317",3,"12","131","171","2,058","419","1,122","517","29"
"52",52,"Burbank","104,871","274",3,"14","98","159","2,767","487","1,840","440","18"
"53",53,"Burlingame","27,489","57",1,"4","21","31","848","127","631","90","6"
"54",54,"Calabasas","22,693","16",2,"1","7","6","393","79","286","28","2"
"55",55,"Calexico","38,928","94",0,"1","27","66","1,278","365","336","577","7"
"56",56,"California City","13,443","61",1,"4","10","46","301","143","143","15","6"
