"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson"
"1",1,"Adelanto","30,045","272",2,8,"40","222","797","346","324","127","13"
"2",2,"Agoura Hills","22,469","27",0,2,"6","19","308","105","192","11","6"
"3",3,"Alameda","70,372","199",4,13,"87","95","1,955","325","1,390","240","12"
"4",4,"Albany","15,950","45",0,1,"36","8","600","112","381","107","17"
"5",5,"Alhambra","85,956","248",0,15,"133","100","1,874","360","1,209","305","4"
"6",6,"Aliso Viejo","41,740","37",0,4,"15","18","438","57","367","14","9"
"7",7,"Alturas","2,778","2",0,0,"0","2","56","11","39","6","1"
"8",8,"American Canyon","17,259","59",0,2,"31","26","516","107","354","55","2"
"9",9,"Anaheim","335,970","1,184",9,72,"504","599","7,993","1,457","5,591","945","37"
"10",10,"Anderson","10,718","79",0,11,"12","56","507","137","343","27","1"
"11",11,"Antioch","101,243","897",5,40,"315","537","2,653","824","1,082","747","40"
"12",12,"Apple Valley","72,200","266",1,20,"54","191","1,764","557","1,003","204","10"
"13",13,"Arcadia","56,596","115",0,5,"50","60","1,633","329","1,172","132","3"
"14",14,"Arcata","17,093","50",0,8,"10","32","655","126","490","39","2"
"15",15,"Arroyo Grande","17,323","24",0,4,"9","11","368","83","269","16","5"
"16",16,"Artesia","16,226","49",0,2,"20","27","288","73","163","52","3"
"17",17,"Arvin","15,320","158",2,1,"21","134","639","244","306","89","14"
"18",18,"Atascadero","28,675","65",1,11,"10","43","532","121","380","31","10"
"19",19,"Atherton","7,430","21",0,0,"4","17","204","42","153","9","0"
"20",20,"Atwater","26,966","138",2,8,"21","107","1,338","414","822","102","15"
"21",21,"Auburn","13,306","53",0,4,"8","41","284","52","191","41","4"
"22",22,"Avalon","3,098","26",0,0,"2","24","89","21","52","16","2"
"23",23,"Avenal","17,451","71",1,4,"7","59","224","133","79","12","5"
"24",24,"Azusa","47,078","245",1,10,"78","156","1,222","281","751","190","2"
"25",25,"Bakersfield","330,897","2,099",27,49,"704","1,319","15,605","3,888","9,341","2,376","127"
"26",26,"Baldwin Park","77,539","295",4,9,"112","170","1,661","365","760","536","16"
"27",27,"Banning","29,568","161",0,12,"29","120","570","232","255","83","0"
"28",28,"Barstow","24,822","248",3,16,"66","163","903","299","423","181","9"
"29",29,"Bear Valley","4,618","3",0,0,"0","3","83","12","70","1","0"
