"","NameCity","Population","Robbery","Burglary","Years","Arson","Violent","Murder","Rape","Assault","PropertyCrime","Theft","SQmiles"
"1","Adelanto",29697,39,359,2010,13,242,4,9,190,726,273,56.01
"2","Adelanto",33693,48,190,2017,13,238,2,28,160,578,290,56.01
"3","Adelanto",28719,33,354,2007,11,153,5,7,108,758,308,56.01
"4","Adelanto",29214,30,348,2008,12,185,2,9,144,822,361,56.01
"5","Adelanto",34429,40,175,2018,19,239,0,25,174,610,336,56.01
"6","Adelanto",32138,34,410,2011,15,164,1,18,111,885,363,56.01
"7","Adelanto",34491,42,136,2019,14,276,1,20,213,459,209,56.01
"8","Adelanto",33479,48,241,2016,15,276,1,28,199,560,218,56.01
"9","Adelanto",32520,45,397,2012,15,199,1,18,135,924,380,56.01
"10","Adelanto",24579,35,238,2006,7,136,2,14,85,692,305,56.01
"11","Adelanto",30045,40,346,2009,13,272,2,8,222,797,324,56.01
"12","Adelanto",21786,23,263,2005,15,99,1,7,68,639,260,56.01
"13","Adelanto",33005,48,434,2015,24,212,2,14,148,808,254,56.01
"14","Adelanto",31213,37,422,2014,11,189,3,18,131,790,257,56.01
"15","Adelanto",31165,52,381,2013,17,198,2,15,129,886,372,56.01
"16","Agoura Hills",22318,1,59,2010,0,18,0,2,15,240,173,7.79
"17","Agoura Hills",20762,10,109,2013,7,19,0,2,7,306,185,7.79
"18","Agoura Hills",20667,1,62,2012,1,12,0,2,9,236,158,7.79
"19","Agoura Hills",21032,3,83,2016,0,15,0,2,10,253,150,7.79
"20","Agoura Hills",20970,6,82,2015,0,15,0,1,8,310,217,7.79
"21","Agoura Hills",23015,9,83,2005,2,47,0,7,31,337,230,7.79
"22","Agoura Hills",22619,9,96,2008,0,43,0,2,32,376,257,7.79
"23","Agoura Hills",20490,4,66,2019,0,21,0,6,11,306,223,7.79
"24","Agoura Hills",20744,8,64,2018,3,27,0,5,14,274,186,7.79
"25","Agoura Hills",20814,4,71,2017,4,16,0,2,10,278,187,7.79
"26","Agoura Hills",20767,3,66,2014,1,17,0,5,9,234,156,7.79
"27","Agoura Hills",20569,3,74,2011,1,15,0,1,11,255,168,7.79
"28","Agoura Hills",22966,9,76,2007,6,49,0,3,37,348,254,7.79
"29","Agoura Hills",22469,6,105,2009,6,27,0,2,19,308,192,7.79
"30","Agoura Hills",22970,7,86,2006,3,41,0,3,31,338,229,7.79
