"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"1","Adelanto","31,213","189",3,"18",NA,"37","131","790","422","257","111","11"
"2","Agoura Hills","20,767","17",0,"",5,"3","9","234","66","156","12","1"
"3","Alameda","77,048","145",1,"",9,"62","73","1,723","236","1,154","333","17"
"4","Albany","19,350","31",0,"",3,"24","4","478","105","319","54","0"
"5","Alhambra","84,931","168",1,"",19,"83","65","1,743","316","1,203","224","4"
"6","Aliso Viejo3","50,671","35",1,"5",NA,"5","24","273","45","211","17","1"
"7","Alturas","2,615","29",4,"",3,"1","21","89","32","51","6","1"
"8","American Canyon","20,379","55",0,"",2,"16","37","568","98","439","31","0"
"9","Anaheim","346,956","1,101",14,"",79,"418","590","8,196","1,301","5,620","1,275","23"
"10","Anderson","10,176","96",1,"",10,"11","74","617","100","440","77","0"
"11","Antioch","108,223","849",9,"54",NA,"320","466","4,190","1,317","1,850","1,023","43"
"12","Apple Valley","71,329","212",2,"18",NA,"53","139","1,654","573","866","215","33"
"13","Arcadia","57,950","60",1,"7",NA,"24","28","1,159","276","839","44","2"
"14","Arcata","17,748","78",0,"",13,"19","46","702","144","499","59","15"
"15","Arroyo Grande","17,829","52",0,"",1,"7","44","356","82","243","31","2"
"16","Artesia","16,788","49",0,"",1,"26","22","294","86","160","48","1"
"17","Arvin","20,541","177",2,"",4,"19","152","483","165","230","88","14"
"18","Atascadero","29,268","72",0,"",12,"8","52","448","102","317","29","3"
"19","Atherton","7,221","3",0,"",1,"0","2","75","31","42","2","0"
"20","Atwater","28,961","182",0,"",9,"25","148","1,024","240","684","100","2"
"21","Auburn","14,042","44",1,"",2,"8","33","295","65","193","37","1"
"22","Avalon","3,784","20",0,"",3,"1","16","89","25","55","9","1"
"23","Avenal","13,914","18",0,"",0,"7","11","154","53","79","22","1"
"24","Azusa3","48,224","165",0,"12",NA,"30","123","1,065","270","665","130","8"
"25","Bakersfield","367,406","1,678",17,"",21,"660","980","14,595","4,065","8,247","2,283","372"
"26","Baldwin Park","76,933","219",2,"",7,"56","154","1,342","317","709","316","9"
"27","Banning","30,699","128",1,"",23,"16","88","619","248","243","128","0"
"28","Barstow","23,349","217",1,"",11,"52","153","781","328","307","146","7"
"29","Bear Valley","5,379","2",0,"",1,"0","1","129","8","119","2","0"
"30","Beaumont","41,323","71",0,"",8,"19","44","974","171","707","96","2"
"31","Bell","36,059","217",1,"",19,"73","124","718","156","418","144","0"
"32","Bellflower","77,830","293",2,"",8,"97","186","1,623","411","829","383","7"
"33","Bell Gardens","43,089","108",2,"",7,"41","58","710","107","333","270","4"
"34","Belmont","26,947","36",0,"",9,"9","18","372","75","266","31","1"
"35","Belvedere","2,135","1",0,"",0,"1","0","36","6","28","2","0"
"36","Benicia","27,766","26",0,"",4,"8","14","484","145","283","56","8"
"37","Berkeley","117,753","431",3,"35",NA,"263","130","5,102","932","3,615","555","15"
"38","Beverly Hills","34,788","111",0,"",7,"45","59","1,071","251","774","46","12"
"39","Big Bear Lake","5,148","44",0,"3",NA,"6","35","262","103","141","18","2"
"40","Biggs","1,701","17",0,"",0,"0","17","22","6","13","3","2"
"41","Bishop","3,860","27",0,"",3,"0","24","128","33","91","4","0"
"42","Blythe","19,669","88",3,"",4,"29","52","748","189","537","22","18"
"43","Bradbury","1,084","2",0,"",0,"0","2","9","4","5","0","0"
"44","Brawley","25,695","69",2,"",7,"10","50","1,020","223","729","68","15"
"45","Brea","41,359","53",0,"",5,"22","26","1,124","171","897","56","3"
"46","Brentwood","55,826","102",0,"8",NA,"49","45","1,250","177","954","119","3"
"47","Brisbane","4,482","11",0,"",1,"3","7","133","26","94","13","1"
"48","Broadmoor","4,343","10",0,"",2,"1","7","48","17","20","11","0"
"49","Buellton","4,997","6",0,"",0,"1","5","71","11","54","6","0"
"50","Buena Park","83,414","217",1,"",13,"65","138","2,030","341","1,411","278","2"
"51","Burbank","105,041","150",1,"",14,"55","80","2,426","296","1,948","182","12"
"52","Burlingame","30,161","47",0,"",4,"12","31","750","240","445","65","4"
"53","Calabasas","24,325","19",0,"",2,"6","11","252","81","156","15","5"
"54","Calexico","39,572","96",0,"",7,"30","59","1,630","393","918","319","18"
"55","California City","13,168","79",1,"",8,"5","65","481","249","210","22","1"
"56","Calimesa","8,238","17",0,"",0,"2","15","259","94","145","20","0"
"57","Calistoga","5,277","3",0,"",0,"0","3","73","23","45","5","0"
"58","Camarillo3","66,272","72",0,"14",NA,"21","37","965","154","755","56","14"
"59","Campbell","40,872","81",1,"14",NA,"21","45","1,388","313","873","202","23"
"60","Canyon Lake","10,987","13",0,"",0,"3","10","128","18","91","19","2"
"61","Capitola","10,134","30",0,"",2,"7","21","627","25","574","28","3"
"62","Carlsbad","112,297","204",1,"",14,"44","145","1,731","331","1,272","128","5"
"63","Carmel","3,871","13",0,"",1,"3","9","104","33","68","3","0"
"64","Carpinteria","13,654","19",0,"",3,"1","15","197","49","140","8","1"
"65","Carson","92,838","339",9,"",8,"115","207","2,116","460","1,267","389","6"
"66","Cathedral City","53,368","128",1,"",11,"49","67","1,194","386","491","317","1"
"67","Central Marin","34,450","34",0,"",6,"13","15","682","264","381","37","0"
"68","Ceres","46,903","145",2,"",11,"43","89","1,584","314","991","279","3"
"69","Cerritos","49,867","86",0,"",3,"50","33","1,525","293","1,051","181","3"
"70","Chico","88,562","340",1,"",53,"100","186","3,213","483","2,385","345","70"
"71","Chino","81,600","186",0,"",8,"42","136","1,816","418","1,121","277","9"
"72","Chino Hills","76,972","61",0,"6",NA,"16","39","1,030","262","685","83","4"
"73","Chowchilla","17,079","89",0,"",1,"9","79","332","139","160","33","5"
"74","Chula Vista","259,894","612",7,"",40,"214","351","4,524","613","3,091","820","35"
"75","Citrus Heights","85,758","389",1,"",36,"89","263","2,691","459","1,856","376","8"
"76","City of Angels","3,716","7",0,"",0,"0","7","48","21","24","3","2"
"77","Claremont","36,042","39",0,"",4,"16","19","853","205","607","41","7"
"78","Clayton","11,646","4",0,"",1,"2","1","111","48","51","12","1"
"79","Clearlake","14,914","97",2,"",12,"16","67","681","282","319","80","8"
"80","Cloverdale","8,766","15",0,"",3,"3","9","171","36","120","15","0"
"81","Clovis","100,705","216",1,"",28,"48","139","3,064","791","2,065","208","12"
"82","Coachella","43,633","166",5,"",3,"51","107","1,152","273","660","219","5"
"83","Coalinga","16,445","121",0,"",5,"6","110","315","78","204","33","11"
"84","Colma","1,503","12",0,"",0,"5","7","271","16","241","14","0"
"85","Colton3","53,485","137",1,"8",NA,"61","67","1,575","381","891","303","4"
"86","Colusa","5,942","9",0,"",0,"4","5","105","33","62","10","0"
"87","Commerce","13,033","77",0,"",3,"34","40","965","85","622","258","11"
"88","Compton","98,224","1,129",25,"",27,"353","724","2,619","542","1,366","711","51"
"89","Concord3","126,744","465",3,"22",NA,"166","274","5,196","832","3,348","1,016","8"
"90","Corcoran","23,057","86",0,"",5,"5","76","292","105","168","19","3"
"91","Corning","7,569","35",0,"",4,"8","23","309","84","182","43","3"
"92","Corona","161,128","171",0,"",25,"68","78","3,440","541","2,389","510","23"
"93","Coronado","23,385","17",0,"",2,"1","14","545","59","445","41","2"
"94","Costa Mesa","112,709","318",0,"",45,"120","153","3,462","573","2,583","306","18"
"95","Cotati","7,424","33",0,"",1,"0","32","70","22","42","6","0"
"96","Covina","48,681","110",0,"",5,"48","57","1,108","243","731","134","10"
"97","Crescent City","7,090","63",0,"",5,"12","46","191","68","111","12","3"
"98","Cudahy","24,175","81",0,"",4,"22","55","332","52","207","73","1"
"99","Culver City3","39,561","169",1,"6",NA,"70","92","1,693","249","1,335","109","0"
"100","Cupertino","60,564","40",0,"4",NA,"19","17","1,026","263","716","47","14"
"101","Cypress","49,370","51",0,"",3,"20","28","752","136","547","69","0"
"102","Daly City3","105,628","194",2,"17",NA,"78","97","1,685","304","1,110","271","9"
"103","Dana Point3","34,244","71",0,"12",NA,"7","52","463","61","374","28","2"
"104","Danville","43,685","17",0,"",3,"1","13","439","108","294","37","0"
"105","Davis","66,360","84",0,"",26,"25","33","1,455","277","1,080","98","15"
"106","Delano","52,224","215",12,"",10,"57","136","1,486","365","690","431","34"
"107","Del Mar3","4,305","18",0,"4",NA,"0","14","137","30","102","5","0"
"108","Del Rey Oaks","1,683","1",0,"",0,"0","1","52","8","40","4","0"
"109","Desert Hot Springs","28,086","168",7,"",11,"51","99","1,160","483","423","254","3"
"110","Diamond Bar","56,665","49",0,"",6,"13","30","722","263","400","59","2"
"111","Dinuba","23,815","187",1,"",4,"18","164","933","251","553","129","3"
"112","Dixon","19,103","53",0,"",9,"21","23","428","60","318","50","2"
"113","Dorris","899","5",0,"",0,"1","4","13","4","7","2","0"
"114","Dos Palos","5,081","51",0,"",2,"2","47","155","60","76","19","0"
"115","Downey","113,595","281",3,"",15,"127","136","2,897","479","1,626","792","14"
"116","Duarte","21,817","54",0,"",3,"12","39","352","69","238","45","0"
"117","Dublin3","53,795","70",0,"3",NA,"19","48","798","184","497","117","1"
"118","Dunsmuir","1,569","5",0,"",0,"0","5","17","8","9","0","0"
"119","East Palo Alto","29,377","124",5,"",8,"55","56","574","193","228","153","6"
"120","Eastvale","55,504","59",0,"",4,"17","38","929","206","603","120","6"
"121","El Cajon","102,838","327",4,"",20,"134","169","2,252","496","1,438","318","8"
"122","El Centro","43,532","167",0,"",12,"59","96","2,095","406","1,544","145","8"
"123","El Cerrito","24,485","77",0,"",3,"43","31","926","158","667","101","8"
"124","Elk Grove","162,957","622",2,"32",NA,"124","464","3,072","626","2,237","209","5"
"125","El Monte","116,220","333",2,"",20,"164","147","2,213","462","1,168","583","5"
"126","El Segundo","16,990","48",0,"",4,"15","29","538","161","305","72","12"
"127","Emeryville","10,972","117",0,"",7,"60","50","1,603","129","1,354","120","2"
"128","Encinitas3","62,071","104",0,"12",NA,"22","70","908","181","642","85","0"
"129","Escalon","7,281","10",0,"",0,"2","8","171","41","108","22","2"
"130","Escondido","149,839","512",3,"",35,"165","309","3,026","500","1,994","532","13"
"131","Etna","715","0",0,"",0,"0","0","1","1","0","0","0"
"132","Eureka","26,843","145",5,"",20,"67","53","2,176","476","1,532","168","29"
"133","Exeter","10,524","47",0,"",2,"3","42","305","87","199","19","2"
"134","Fairfax","7,647","16",0,"",1,"1","14","104","22","74","8","1"
"135","Fairfield","110,300","519",6,"",41,"201","271","3,873","656","2,582","635","10"
"136","Farmersville","10,752","52",2,"",0,"5","45","165","46","81","38","1"
"137","Ferndale","1,360","3",0,"",0,"0","3","17","8","9","0","0"
"138","Fillmore3","15,311","46",0,"1",NA,"3","42","122","31","75","16","3"
"139","Firebaugh","8,238","75",0,"",13,"2","60","299","79","157","63","6"
"140","Folsom","73,329","79",1,"",8,"23","47","1,305","244","996","65","5"
"141","Fontana","204,532","710",2,"",39,"173","496","3,710","686","2,191","833","13"
"142","Fort Bragg","7,245","27",1,"",0,"4","22","256","51","188","17","1"
"143","Fort Jones","681","0",0,"",0,"0","0","16","5","8","3","0"
"144","Fortuna","11,752","33",0,"",9,"4","20","496","73","402","21","7"
"145","Foster City","32,836","14",0,"",3,"2","9","366","81","248","37","2"
"146","Fountain Valley","57,024","86",0,"",0,"21","65","1,023","196","759","68","1"
"147","Fowler","6,032","49",0,"",3,"4","42","158","55","79","24","2"
"148","Fremont","227,575","284",1,"",20,"119","144","3,910","899","2,417","594","14"
"149","Fresno","513,187","2,382",47,"",53,"781","1,501","21,101","4,721","13,277","3,103","259"
"150","Fullerton","139,895","339",0,"",55,"101","183","3,206","521","2,380","305","25"
"151","Galt","24,671","70",0,"",11,"11","48","574","162","362","50","11"
"152","Gardena","60,233","276",1,"",10,"164","101","1,389","335","785","269","8"
"153","Garden Grove","176,106","406",5,"",17,"124","260","3,098","646","1,976","476","24"
"154","Gilroy","52,415","197",2,"19",NA,"60","116","1,486","236","1,023","227","2"
"155","Glendale","197,079","186",0,"",9,"67","110","3,073","511","2,294","268","16"
"156","Glendora","51,292","66",1,"",11,"14","40","1,241","176","984","81","7"
"157","Goleta","30,669","35",0,"",3,"1","31","422","121","283","18","3"
"158","Gonzales","8,459","37",0,"",2,"3","32","86","27","29","30","1"
"159","Grand Terrace","12,405","18",0,"1",NA,"7","10","248","53","146","49","2"
"160","Grass Valley","12,777","109",0,"",5,"9","95","676","130","498","48","5"
"161","Greenfield","16,986","91",6,"",5,"19","61","319","100","150","69","9"
"162","Gridley","6,558","88",0,"",4,"1","83","167","45","111","11","3"
"163","Grover Beach","13,497","52",0,"",5,"3","44","324","95","208","21","0"
"164","Guadalupe","7,260","10",0,"",2,"0","8","68","13","43","12","0"
"165","Gustine","5,667","34",0,"",1,"4","29","161","69","69","23","3"
"166","Hanford","54,824","305",1,"",27,"31","246","1,857","259","1,442","156","7"
"167","Hawaiian Gardens","14,490","55",1,"",1,"25","28","183","35","90","58","3"
"168","Hawthorne","86,670","658",6,"",25,"336","291","2,588","537","1,591","460","7"
"169","Hayward","153,319","605",9,"53",NA,"329","214","4,873","985","2,444","1,444","35"
"170","Healdsburg","11,569","19",0,"",2,"2","15","238","44","173","21","0"
"171","Hemet","82,412","430",10,"31",NA,"139","250","3,357","912","1,957","488","5"
"172","Hercules","25,026","27",0,"",1,"16","10","286","60","180","46","0"
"173","Hermosa Beach","19,873","37",0,"",7,"11","19","543","104","407","32","1"
"174","Hesperia","92,592","296",4,"18",NA,"56","218","2,303","821","1,107","375","11"
"175","Hidden Hills","1,915","0",0,"",0,"0","0","12","2","8","2","0"
"176","Highland","54,559","256",7,"17",NA,"71","161","1,309","421","564","324","12"
"177","Hillsborough","11,382","1",0,"",1,"0","0","103","55","47","1","0"
"178","Hollister","36,967","136",3,"",13,"19","101","498","191","246","61","3"
"179","Holtville","6,030","24",0,"",0,"2","22","86","23","53","10","0"
"180","Hughson","7,089","11",0,"",0,"1","10","143","50","73","20","3"
"181","Huntington Beach","199,152","391",1,"45",NA,"100","245","4,238","643","3,295","300","20"
"182","Huntington Park","59,064","409",2,"17",NA,"222","168","1,806","181","1,031","594","4"
"183","Huron","6,792","72",0,"",3,"11","58","145","26","80","39","7"
"184","Imperial3","16,535","5",0,"0",NA,"1","4","46","6","27","13","0"
"185","Imperial Beach","27,234","112",0,"",8,"19","85","416","76","240","100","3"
"186","Indian Wells","5,211","6",1,"",0,"0","5","120","40","78","2","0"
"187","Indio","84,540","466",8,"",25,"120","313","2,210","549","1,197","464","6"
"188","Industry","205","72",0,"",3,"35","34","1,047","109","729","209","5"
"189","Inglewood","111,997","783",20,"",32,"371","360","2,740","582","1,461","697","17"
"190","Ione","6,773","6",0,"",1,"0","5","60","13","45","2","1"
"191","Irvine","242,971","120",0,"",28,"36","56","3,045","575","2,344","126","8"
"192","Irwindale","1,426","18",0,"",0,"5","13","169","36","103","30","3"
"193","Isleton3","825","2",0,"0",NA,"0","2","23","12","11","0","0"
"194","Jackson","4,534","17",0,"",1,"4","12","113","30","81","2","0"
"195","Jurupa Valley","98,684","287",4,"",10,"84","189","2,586","445","1,469","672","5"
"196","Kensington","5,281","2",0,"",1,"0","1","46","16","25","5","0"
"197","Kerman3","14,538","38",0,"6",NA,"7","25","458","132","255","71","0"
"198","King City","13,336","55",0,"",4,"6","45","243","120","94","29","3"
"199","Kingsburg","11,762","34",0,"",4,"5","25","318","88","174","56","3"
"200","La Canada Flintridge","20,627","18",0,"",1,"4","13","306","121","177","8","3"
"201","Lafayette","25,355","17",0,"",2,"7","8","439","96","324","19","0"
"202","Laguna Beach","23,371","64",0,"",4,"7","53","462","98","340","24","2"
"203","Laguna Hills3","31,035","45",0,"10",NA,"11","24","441","92","316","33","1"
"204","Laguna Niguel3","65,033","73",1,"11",NA,"19","42","554","100","423","31","2"
"205","Laguna Woods","16,480","6",0,"",0,"3","3","118","9","104","5","0"
"206","La Habra","61,964","105",2,"",7,"46","50","1,049","152","815","82","3"
"207","La Habra Heights","5,451","8",0,"",0,"0","8","49","19","30","0","0"
"208","Lake Elsinore","58,665","128",1,"",6,"52","69","1,662","405","1,031","226","3"
"209","Lake Forest3","79,748","104",0,"19",NA,"18","67","682","127","493","62","2"
"210","Lakeport","4,763","17",0,"",3,"4","10","335","69","254","12","0"
"211","Lake Shastina","2,506","5",0,"",0,"0","5","18","3","15","0","1"
"212","Lakewood","81,382","202",1,"",7,"78","116","1,737","320","1,191","226","4"
"213","La Mesa","59,005","208",0,"",16,"68","124","1,584","272","1,143","169","10"
"214","La Mirada","49,277","89",1,"",4,"22","62","635","125","435","75","1"
"215","Lancaster","160,190","891",4,"",54,"249","584","3,661","1,140","2,057","464","37"
"216","La Palma","15,977","12",0,"",1,"7","4","247","86","142","19","0"
"217","La Puente","40,583","136",1,"",1,"50","84","440","88","221","131","2"
"218","La Quinta","39,753","87",1,"",2,"33","51","1,324","314","954","56","5"
"219","La Verne","32,067","46",0,"",14,"14","18","820","169","606","45","3"
"220","Lawndale","33,340","157",0,"",6,"49","102","398","118","192","88","2"
"221","Lemon Grove3","26,332","125",1,"4",NA,"34","86","516","142","297","77","1"
"222","Lemoore","25,080","119",1,"",18,"18","82","660","110","437","113","7"
"223","Lincoln","45,792","17",0,"",4,"7","6","463","124","303","36","5"
"224","Lindsay","13,300","41",1,"",0,"6","34","243","85","122","36","3"
"225","Livermore","86,147","236",0,"",10,"31","195","1,501","269","1,063","169","21"
"226","Livingston","13,690","50",0,"",2,"6","42","245","73","129","43","2"
"227","Lodi","63,601","290",3,"",7,"97","183","2,095","474","1,170","451","6"
"228","Loma Linda","23,798","41",0,"2",NA,"17","22","689","171","342","176","1"
"229","Lomita","20,677","77",1,"",3,"17","56","355","83","223","49","1"
"230","Lompoc","43,809","153",1,"",24,"19","109","854","186","595","73","12"
"231","Long Beach","471,123","2,304",23,"",110,"889","1,282","12,438","3,482","6,875","2,081","78"
"232","Los Alamitos","11,708","16",0,"",2,"6","8","204","57","118","29","0"
"233","Los Altos","30,256","7",0,"",2,"3","2","322","118","193","11","2"
"234","Los Altos Hills3","8,408","2",0,"0",NA,"1","1","73","49","24","0","4"
"235","Los Angeles","3,906,772","19,171",260,"1,126",NA,"7,949","9,836","83,139","15,070","54,281","13,788","1,137"
"236","Los Banos","37,011","133",1,"",3,"29","100","900","207","606","87","4"
"237","Los Gatos","30,614","23",1,"",6,"3","13","616","181","389","46","1"
"238","Lynwood","71,812","401",4,"",10,"186","201","1,424","235","596","593","9"
"239","Madera","63,495","415",6,"15",NA,"72","322","1,686","472","1,007","207","12"
"240","Malibu","12,912","25",0,"",7,"3","15","312","81","213","18","3"
"241","Mammoth Lakes","8,033","28",0,"",1,"3","24","111","21","88","2","0"
"242","Manhattan Beach","35,872","37",0,"",2,"20","15","878","218","609","51","2"
"243","Manteca","73,055","176",4,"",7,"73","92","2,100","314","1,440","346","16"
"244","Marina","20,530","58",0,"",4,"15","39","463","120","299","44","6"
"245","Martinez","37,416","73",2,"",5,"30","36","974","189","593","192","0"
"246","Marysville","12,242","86",1,"",5,"8","72","507","143","268","96","5"
"247","Maywood","27,833","88",0,"",2,"35","51","250","40","110","100","3"
"248","McFarland","12,346","65",0,"",5,"6","54","230","79","83","68","11"
"249","Mendota","11,480","72",0,"",1,"15","56","287","43","169","75","22"
"250","Menifee","84,843","107",2,"",1,"31","73","1,501","339","888","274","1"
"251","Menlo Park","33,321","52",0,"",13,"15","24","565","125","407","33","0"
"252","Merced","81,603","570",13,"",17,"143","397","2,632","605","1,678","349","40"
"253","Mill Valley","14,411","11",0,"",0,"2","9","188","49","129","10","0"
"254","Milpitas","70,568","112",1,"",14,"52","45","2,131","351","1,453","327","9"
"255","Mission Viejo3","97,124","71",5,"9",NA,"23","34","864","147","679","38","1"
"256","Modesto","205,820","1,778",11,"",81,"385","1,301","9,113","1,754","6,164","1,195","59"
"257","Monrovia","37,225","47",1,"",2,"22","22","718","91","557","70","0"
"258","Montague","1,398","2",0,"",0,"0","2","13","7","4","2","0"
"259","Montclair","38,347","210",3,"23",NA,"72","112","1,506","249","969","288","9"
"260","Montebello","63,737","134",3,"",4,"71","56","1,449","501","568","380","26"
"261","Monterey","28,512","115",0,"",19,"31","65","1,022","166","790","66","9"
"262","Monterey Park","61,284","91",1,"",4,"41","45","1,039","267","608","164","0"
"263","Monte Sereno","3,511","0",0,"",0,"0","0","30","16","13","1","0"
"264","Moorpark3","35,299","39",0,"13",NA,"6","20","277","36","226","15","2"
"265","Moraga","16,953","8",0,"",1,"0","7","150","33","104","13","2"
"266","Moreno Valley","202,911","584",11,"",20,"257","296","6,410","1,638","3,742","1,030","10"
"267","Morgan Hill","41,585","65",0,"",3,"21","41","612","119","372","121","6"
"268","Morro Bay","10,516","50",1,"",2,"1","46","234","50","173","11","0"
"269","Mountain View3","78,759","156",1,"14",NA,"29","112","1,608","263","1,237","108","6"
"270","Mount Shasta","3,267","6",0,"",0,"3","3","62","12","43","7","1"
"271","Murrieta","108,376","68",1,"",6,"20","41","1,458","262","1,009","187","13"
"272","Napa","79,572","249",2,"34",NA,"39","174","1,315","290","900","125","0"
"273","National City","60,130","267",2,"",16,"105","144","1,589","238","934","417","9"
"274","Needles","4,944","25",0,"0",NA,"7","18","164","80","63","21","3"
"275","Nevada City","3,055","36",0,"",1,"1","34","95","36","48","11","0"
"276","Newark","44,467","109",2,"",9,"36","62","971","246","588","137","3"
"277","Newman","10,742","25",0,"",0,"2","23","157","57","73","27","0"
"278","Newport Beach","87,759","109",0,"",17,"21","71","1,880","357","1,419","104","1"
"279","Norco","26,933","46",0,"",2,"20","24","642","154","409","79","1"
"280","Norwalk","106,838","316",8,"",13,"110","185","2,001","360","1,155","486","9"
"281","Novato","54,756","80",1,"",7,"16","56","770","182","468","120","31"
"282","Oakdale","21,651","43",0,"",6,"11","26","822","182","545","95","0"
"283","Oakland","409,994","6,910",80,"",209,"3,481","3,140","24,367","4,006","13,842","6,519","176"
"284","Oakley","38,851","45",2,"",2,"16","25","469","134","225","110","3"
"285","Oceanside3","174,102","652",5,"52",NA,"186","409","3,984","615","3,007","362","34"
"286","Ojai3","7,607","10",0,"2",NA,"1","7","120","20","94","6","0"
"287","Ontario","168,278","431",6,"",20,"163","242","4,654","780","2,987","887","30"
"288","Orange","140,767","142",0,"",10,"53","79","2,241","366","1,631","244","23"
"289","Orange Cove","9,704","10",0,"",4,"1","5","151","44","48","59","3"
"290","Orinda","18,904","4",0,"",0,"2","2","187","62","115","10","0"
"291","Orland","7,511","20",1,"",0,"5","14","123","29","74","20","5"
"292","Oroville","16,090","91",0,"",8,"25","58","994","283","601","110","10"
"293","Oxnard","204,159","884",11,"45",NA,"447","381","6,382","1,172","4,475","735","27"
"294","Pacifica","38,925","91",0,"",11,"15","65","638","130","453","55","5"
"295","Pacific Grove","15,612","30",0,"",6,"1","23","301","49","229","23","3"
"296","Palmdale","158,210","840",9,"",38,"230","563","3,219","875","2,010","334","21"
"297","Palm Desert","50,971","140",1,"",5,"40","94","2,178","560","1,524","94","4"
"298","Palm Springs","46,665","295",3,"28",NA,"97","167","2,722","795","1,719","208","19"
"299","Palo Alto","67,169","59",0,"",3,"29","27","1,299","257","976","66","2"
"300","Palos Verdes Estates","13,668","5",0,"",0,"0","5","121","52","64","5","1"
"301","Paradise","26,306","52",1,"",4,"7","40","516","257","200","59","2"
"302","Paramount","55,194","239",3,"",14,"98","124","1,408","224","796","388","9"
"303","Parlier","14,948","116",1,"",8,"8","99","234","65","139","30","8"
"304","Pasadena","140,373","394",10,"",23,"126","235","3,469","826","2,413","230","28"
"305","Paso Robles","31,117","125",0,"",6,"7","112","788","157","584","47","6"
"306","Patterson","20,977","40",1,"",2,"18","19","626","199","276","151","5"
"307","Perris","73,223","180",0,"",1,"68","111","1,905","407","980","518","2"
"308","Petaluma","59,803","200",1,"28",NA,"24","147","1,074","167","830","77","11"
"309","Pico Rivera","63,970","275",4,"",9,"89","173","1,360","283","762","315","4"
"310","Piedmont","11,170","8",0,"",0,"4","4","232","80","111","41","0"
"311","Pinole3","19,034","69",1,"5",NA,"27","36","632","78","473","81","1"
"312","Pismo Beach","7,910","26",0,"",2,"8","16","387","162","212","13","2"
"313","Pittsburg","67,509","175",4,"",3,"96","72","2,362","570","1,072","720","18"
"314","Placentia","52,513","82",1,"",3,"14","64","732","159","501","72","5"
"315","Placerville","10,486","57",0,"",4,"7","46","273","58","187","28","1"
"316","Pleasant Hill3","34,363","60",0,"3",NA,"31","26","1,738","276","1,306","156","5"
"317","Pleasanton","75,060","61",0,"",8,"14","39","1,244","169","919","156","3"
"318","Pomona","151,899","777",18,"",44,"241","474","4,403","677","2,686","1,040","17"
"319","Porterville","55,391","158",4,"",10,"38","106","1,204","343","702","159","6"
"320","Port Hueneme","22,247","89",2,"2",NA,"30","55","347","96","193","58","0"
"321","Poway3","49,786","70",0,"2",NA,"13","55","436","98","306","32","3"
"322","Rancho Cordova3","68,636","305",4,"17",NA,"89","195","1,644","321","1,143","180","3"
"323","Rancho Cucamonga","172,694","283",4,"17",NA,"99","163","3,668","1,348","1,908","412","16"
"324","Rancho Mirage","17,926","29",0,"",2,"2","25","677","165","475","37","0"
