"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition1.","Rape.legacydefinition2.","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"1","Adelanto","33,479","276",1,"28",NA,"48","199","560","241","218","101","15"
"2","Agoura Hills","21,032","15",0,"2",NA,"3","10","253","83","150","20","0"
"3","Alameda","79,597","151",1,"8",NA,"68","74","2,020","226","1,351","443","29"
"4","Albany","19,975","29",0,"0",NA,"24","5","533","62","426","45","3"
"5","Alhambra","86,035","146",0,"9",NA,"73","64","2,107","422","1,447","238","4"
"6","Aliso Viejo","50,604","29",0,"4",NA,"5","20","411","61","323","27","0"
"7","Alturas","2,549","22",0,"5",NA,"1","16","116","34","74","8","0"
"8","American Canyon","20,746","68",0,"7",NA,"15","46","409","58","295","56","2"
"9","Anaheim","353,504","1,209",7,"123",NA,"390","689","9,617","1,469","6,764","1,384","33"
"10","Anderson","10,273","92",2,"8",NA,"6","76","452","51","315","86","7"
"11","Angels Camp","3,755","9",0,"2",NA,"0","7","37","8","23","6","0"
"12","Antioch","112,090","760",9,"55",NA,"293","403","3,690","762","2,012","916","56"
"13","Apple Valley","72,757","314",4,"26",NA,"74","210","1,735","417","1,064","254","17"
"14","Arcadia","58,816","83",2,"4",NA,"44","33","1,642","520","1,045","77","5"
"15","Arcata","17,913","82",0,"6",NA,"22","54","667","129","461","77","6"
"16","Arroyo Grande","18,280","35",0,"6",NA,"9","20","334","53","262","19","3"
"17","Artesia","17,049","89",2,"1",NA,"30","56","622","198","350","74","1"
"18","Arvin","21,195","191",2,"3",NA,"17","169","634","170","279","185","18"
"19","Atascadero","30,108","83",1,"11",NA,"7","64","501","109","345","47","6"
"20","Atherton","7,218","3",0,"1",NA,"1","1","104","14","84","6","0"
"21","Atwater","29,437","203",1,"8",NA,"27","167","1,006","190","670","146","16"
"22","Auburn","14,078","67",1,"5",NA,"6","55","305","64","199","42","2"
"23","Avalon","3,813","10",0,"2",NA,"0","8","37","2","34","1","0"
"24","Avenal","12,941","32",3,"5",NA,"3","21","176","86","72","18","1"
"25","Azusa","50,393","175",1,"18",NA,"46","110","1,139","261","695","183","6"
"26","Bakersfield","378,788","1,821",32,"67",NA,"614","1,108","17,138","3,887","10,203","3,048","332"
"27","Baldwin Park","77,400","291",5,"31",NA,"73","182","1,514","356","818","340","8"
"28","Banning","31,191","148",3,"13",NA,"34","98","676","234","279","163","0"
"29","Barstow","23,894","361",3,"24",NA,"106","228","1,136","455","465","216","16"
"30","Bear Valley","5,464","5",0,"0",NA,"0","5","61","4","56","1","0"
"31","Beaumont","45,249","144",0,"15",NA,"29","100","1,059","190","696","173","0"
"32","Bell","36,347","233",5,"11",NA,"57","160","782","212","414","156","0"
"33","Bellflower","78,806","392",4,"31",NA,"160","197","1,990","453","1,047","490","13"
"34","Bell Gardens","43,316","155",3,"7",NA,"64","81","942","103","510","329","4"
"35","Belmont","27,492","31",0,"8",NA,"5","18","377","86","266","25","6"
"36","Belvedere","2,131","1",0,"0",NA,"0","1","21","5","16","0","0"
"37","Benicia","28,400","19",0,"4",NA,"8","7","540","141","299","100","2"
