"","X","City","Population","Violent..crime","Murder.and..nonnegligent..manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny..theft","Motor..vehicle.theft","Arson1"
"1",1,"Adelanto","29,214","185",2,9,"30","144","822","348","361","113","12"
"2",2,"Agoura Hills","22,619","43",0,2,"9","32","376","96","257","23","0"
"3",3,"Alameda","69,998","210",2,9,"107","92","1,875","325","1,278","272","9"
"4",4,"Albany","15,909","50",0,3,"30","17","650","88","435","127","0"
"5",5,"Alhambra","86,404","276",1,8,"156","111","2,082","447","1,270","365","9"
"6",6,"Aliso Viejo","41,593","36",0,2,"18","16","505","91","384","30","12"
"7",7,"Alturas","2,784","25",0,3,"2","20","71","16","50","5","1"
"8",8,"American Canyon","17,321","53",0,2,"19","32","517","137","331","49","0"
"9",9,"Anaheim","333,746","1,312",11,83,"573","645","8,331","1,604","5,633","1,094","44"
"10",10,"Anderson","10,739","90",0,14,"10","66","563","162","377","24","2"
"11",11,"Antioch","100,702","875",8,29,"398","440","2,850","923","1,241","686","38"
"12",12,"Apple Valley","72,591","338",3,17,"79","239","1,791","570","1,015","206","19"
"13",13,"Arcadia","56,605","128",2,4,"62","60","1,550","343","1,084","123","9"
"14",14,"Arcata","17,073","43",0,1,"13","29","565","164","368","33","7"
"15",15,"Arroyo Grande","17,051","29",0,8,"6","15","375","81","266","28","1"
"16",16,"Artesia","16,348","69",3,2,"27","37","327","97","154","76","1"
"17",17,"Arvin","15,219","124",1,6,"23","94","757","278","360","119","22"
"18",18,"Atascadero","28,200","81",1,13,"15","52","544","156","354","34","3"
"19",19,"Atherton","7,352","38",0,1,"2","35","230","51","172","7","6"
"20",20,"Atwater","27,450","156",2,7,"24","123","1,141","296","720","125","17"
"21",21,"Auburn","13,084","47",0,5,"8","34","363","58","263","42","5"
"22",22,"Avalon","3,121","45",0,0,"3","42","109","21","61","27","2"
"23",23,"Avenal","17,711","77",0,2,"8","67","168","71","81","16","7"
"24",24,"Azusa","46,840","208",2,7,"68","131","1,304","250","823","231","10"
"25",25,"Bakersfield","326,046","2,077",25,48,"708","1,296","16,160","4,168","9,476","2,516","161"
"26",26,"Baldwin Park","78,031","267",8,9,"106","144","1,759","356","812","591","10"
"27",27,"Banning","29,816","166",0,6,"24","136","742","293","356","93","0"
"28",28,"Barstow","24,942","339",5,11,"116","207","1,333","495","573","265","10"
"29",29,"Bear Valley","4,592","0",0,0,"0","0","56","10","45","1","0"
"30",30,"Beaumont","34,208","72",1,7,"16","48","811","173","554","84","1"
"31",31,"Bell","36,877","185",3,13,"71","98","648","162","307","179","0"
"32",32,"Bellflower","73,488","507",7,11,"228","261","2,182","432","1,085","665","18"
"33",33,"Bell Gardens","44,939","255",4,11,"115","125","885","169","304","412","2"
"34",34,"Belmont2","24,588","25",0,3,"7","15","","","242","42","3"
"35",35,"Belvedere","2,050","0",0,0,"0","0","21","4","16","1","0"
"36",36,"Benicia","26,255","46",1,6,"14","25","512","179","264","69","10"
