NameCity,Population,Violent,Murder,Robbery,Burglary,Arson,Years,Rape,Assault,PropertyCrime,Theft
Adelanto,21786,99,1,23,263,15,2005,7,68,639,260
Agoura Hills,23015,47,0,9,83,2,2005,7,31,337,230
Alameda,71608,232,0,88,367,21,2005,11,133,1959,1285
Albany,16324,55,0,36,136,3,2005,1,18,776,497
Alhambra,88579,321,1,154,575,16,2005,12,154,2607,1472
Aliso Viejo,41743,32,2,8,115,7,2005,3,19,553,394
Alturas,2948,9,0,0,17,3,2005,5,4,61,42
American Canyon,13979,32,0,9,91,4,2005,2,21,341,201
Anaheim,335992,1616,10,554,1929,79,2005,81,971,9512,5537
Anderson,10444,61,0,5,167,0,2005,9,47,429,231
Antioch,101593,553,10,232,733,44,2005,28,283,2920,1269
Apple Valley,63055,253,4,43,603,11,2005,20,186,2224,1227
Arcadia,56364,136,2,61,433,5,2005,7,66,1849,1254
Arcata,17041,48,0,11,252,4,2005,6,31,854,519
Arroyo Grande,16290,43,0,6,86,1,2005,3,34,415,300
Artesia,16893,118,1,33,98,7,2005,4,80,338,173
Arvin,14500,44,2,6,189,12,2005,4,32,783,482
Atascadero,27338,113,0,10,118,2,2005,12,91,607,431
Atherton,7174,22,0,8,50,0,2005,2,12,219,164
Atwater,26545,108,5,13,255,7,2005,6,84,1086,694
Auburn,12860,55,0,2,88,2,2005,3,50,385,249
Avalon,3382,20,0,3,33,0,2005,1,16,159,68
Avenal,16792,46,0,3,66,3,2005,0,43,166,92
Azusa,47703,198,0,47,269,5,2005,15,136,1297,738
Bakersfield,285821,1706,32,530,3746,182,2005,45,1099,16438,10034
Baldwin Park,79411,353,5,100,439,13,2005,14,234,2103,1036
Banning,28876,192,0,40,510,0,2005,11,141,1169,520
Barstow,23684,290,1,69,305,11,2005,21,199,1051,493
Bear Valley,4514,1,0,0,5,0,2005,1,0,20,13
Beaumont,18235,53,1,17,123,1,2005,4,31,637,405
Bell,38030,166,5,65,132,0,2005,7,89,458,133
Bellflower,75462,537,9,247,477,14,2005,14,267,2500,1170
Bell Gardens,45673,284,5,73,251,4,2005,25,181,944,316
Belmont,24611,10,0,9,94,0,2005,1,0,636,478
Belvedere,2101,1,0,0,22,0,2005,0,1,39,16
Benicia,27006,53,0,14,160,3,2005,3,36,550,303
Berkeley,102191,570,3,354,1229,25,2005,18,195,7976,5503
Beverly Hills,35321,134,1,58,314,5,2005,10,65,1052,700
Biggs,1827,3,0,0,18,0,2005,0,3,46,21
Bishop,3645,23,0,4,31,0,2005,1,18,172,135
Blue Lake,1146,6,0,1,29,0,2005,2,3,94,50
Blythe,22577,142,2,14,175,27,2005,4,122,691,441
Bradbury,991,0,0,0,6,0,2005,0,0,11,4
Brawley,22403,86,0,18,395,19,2005,6,62,999,448
Brea,38778,87,1,40,277,6,2005,2,44,1622,1179
Brentwood,40091,100,0,24,186,9,2005,14,62,985,679
Brisbane,3583,11,0,2,19,4,2005,1,8,136,92
Broadmoor,4295,10,0,2,23,1,2005,0,8,80,31
Buellton,3773,6,1,2,19,0,2005,1,2,75,52
Buena Park,79884,306,2,124,449,23,2005,14,166,1926,1042
Burbank,104805,246,3,67,586,5,2005,13,163,2771,1690
Burlingame,27602,68,0,28,145,8,2005,3,37,939,697
Calabasas,21773,16,0,5,81,1,2005,2,9,285,172
Calexico,34554,138,0,25,396,31,2005,4,109,1313,504
California City,11498,57,1,4,93,2,2005,2,50,263,151
Calimesa,7547,18,1,6,50,1,2005,1,10,186,109
Calipatria,7729,2,0,0,13,0,2005,0,2,32,19
Calistoga,5242,16,0,0,17,0,2005,2,14,118,80
Camarillo,61294,94,1,30,259,12,2005,15,48,1046,710
Campbell,37259,71,0,13,225,17,2005,5,53,1217,872
