"","X1","X2","X3"
"1","Rank","Land Area ▼","City / Population"
"2","1.","468.67 sq mi","Los Angeles, CA / 3,862,210"
"3","2.","325.19 sq mi","San Diego, CA / 1,341,510"
"4","3.","203.52 sq mi","California City, CA / 13,243"
"5","4.","176.53 sq mi","San Jose, CA / 986,320"
"6","5.","142.16 sq mi","Bakersfield, CA / 358,700"
"7","6.","111.96 sq mi","Fresno, CA / 506,132"
"8","7.","105.96 sq mi","Palmdale, CA / 155,810"
"9","8.","105.59 sq mi","Lucerne Valley, CA / 5,767"
"10","9.","97.92 sq mi","Sacramento, CA / 476,075"
"11","10.","94.28 sq mi","Lancaster, CA / 159,092"
"12","11.","94.12 sq mi","Palm Springs, CA / 45,827"
"13","12.","81.78 sq mi","Durham, CA / 5,743"
"14","13.","81.14 sq mi","Riverside, CA / 313,041"
"15","14.","77.46 sq mi","Fremont, CA / 221,654"
"16","15.","73.19 sq mi","Apple Valley, CA / 70,561"
"17","16.","73.18 sq mi","Victorville, CA / 119,603"
"18","17.","73.10 sq mi","Hesperia, CA / 91,757"
"19","18.","72.10 sq mi","Hayfork, CA / 2,372"
"20","19.","66.11 sq mi","Irvine, CA / 229,850"
"21","20.","61.67 sq mi","Stockton, CA / 297,223"
"22","21.","60.10 sq mi","Phelan, CA / 12,947"
"23","22.","59.65 sq mi","Redding, CA / 90,725"
"24","23.","59.20 sq mi","San Bernardino, CA / 213,044"
"25","24.","59.14 sq mi","Twentynine Palms, CA / 25,601"
"26","25.","58.29 sq mi","Mojave, CA / 4,172"
"27","26.","57.12 sq mi","Berry Creek, CA / 1,292"
"28","27.","56.56 sq mi","Squaw Valley, CA / 2,450"
"29","28.","56.01 sq mi","Adelanto, CA / 31,773"
"30","29.","55.79 sq mi","Oakland, CA / 402,339"
"31","30.","55.03 sq mi","Thousand Oaks, CA / 128,126"
"32","31.","52.72 sq mi","Santa Clarita, CA / 179,030"
"33","32.","52.12 sq mi","Rosamond, CA / 18,658"
"34","33.","51.27 sq mi","Moreno Valley, CA / 198,872"
"35","34.","50.29 sq mi","Long Beach, CA / 468,594"
"36","35.","50.01 sq mi","Hat Creek, CA / 215"
"37","36.","49.94 sq mi","Ontario, CA / 166,892"
"38","37.","49.84 sq mi","Anaheim, CA / 342,973"
"39","38.","49.63 sq mi","Chula Vista, CA / 253,031"
"40","39.","48.45 sq mi","El Dorado Hills, CA / 43,862"
"41","40.","46.87 sq mi","San Francisco, CA / 829,072"
"42","41.","46.47 sq mi","Menifee, CA / 81,658"
"43","42.","46.05 sq mi","Prunedale, CA / 18,574"
"44","43.","45.32 sq mi","Hayward, CA / 149,596"
"45","44.","44.68 sq mi","Chino Hills, CA / 76,187"
"46","45.","44.51 sq mi","Three Rivers, CA / 2,278"
"47","46.","44.37 sq mi","Mineral, CA / 222"
"48","47.","43.07 sq mi","Borrego Springs, CA / 2,359"
"49","48.","42.43 sq mi","Fontana, CA / 201,355"
"50","49.","42.19 sq mi","Elk Grove, CA / 158,455"
"51","50.","41.48 sq mi","Bear Valley Springs, CA / 5,058"
"52","51.","41.48 sq mi","Simi Valley, CA / 125,699"
"53","52.","41.38 sq mi","Barstow, CA / 23,110"
"54","53.","41.29 sq mi","Santa Rosa, CA / 170,782"
"55","54.","41.23 sq mi","Oceanside, CA / 171,400"
"56","55.","41.19 sq mi","Mountain Ranch, CA / 1,369"
"57","56.","40.02 sq mi","Yucca Valley, CA / 21,083"
"58","57.","39.85 sq mi","Rancho Cucamonga, CA / 170,170"
"59","58.","39.26 sq mi","Acton, CA / 6,956"
"60","59.","39.08 sq mi","Poway, CA / 49,040"
