"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"1","Adelanto","24,579","136",2,"14","35","85","692","238","305","149","7"
"2","Agoura Hills","22,970","41",0,"3","7","31","338","86","229","23","3"
"3","Alameda","71,212","221",2,"7","81","131","1,912","323","1,297","292","9"
"4","Albany","16,138","54",0,"4","40","10","796","134","539","123","5"
"5","Alhambra","88,197","297",1,"19","158","119","2,472","443","1,572","457","14"
"6","Aliso Viejo","41,915","38",0,"4","2","32","436","72","324","40","13"
"7","Alturas","2,928","16",0,"4","2","10","93","27","56","10","3"
"8","American Canyon","15,469","28",0,"3","11","14","270","76","155","39","2"
"9","Anaheim","334,792","1,524",10,"107","584","823","8,817","1,886","5,277","1,654","65"
"10","Anderson","10,623","35",0,"3","6","26","441","110","298","33","2"
"11","Antioch","101,537","657",10,"35","285","327","2,844","840","1,124","880","56"
"12","Apple Valley","65,743","247",2,"17","74","154","2,103","652","1,077","374","25"
"13","Arcadia","56,659","157",1,"5","73","78","1,783","409","1,208","166","3"
"14","Arcata","17,066","55",0,"4","17","34","699","182","474","43","1"
"15","Arroyo Grande","16,462","48",1,"4","7","36","375","67","295","13","5"
"16","Artesia","16,822","95",2,"5","42","46","276","65","160","51","2"
"17","Arvin","14,857","68",1,"3","27","37","667","166","424","77","21"
"18","Atascadero","27,374","72",0,"2","13","57","661","130","496","35","6"
"19","Atherton","7,242","15",0,"2","2","11","168","32","131","5","7"
"20","Atwater","27,351","96",1,"4","25","66","1,022","305","607","110","14"
"21","Auburn","13,028","65",1,"5","3","56","433","105","267","61","6"
"22","Avalon","3,364","27",0,"2","2","23","193","44","85","64","2"
"23","Avenal","16,781","53",0,"2","2","49","138","50","76","12","3"
"24","Azusa","47,544","185",1,"10","43","131","1,468","292","923","253","2"
"25","Bakersfield","298,198","1,575",24,"43","549","959","15,915","3,729","9,623","2,563","193"
"26","Baldwin Park","79,571","323",6,"11","123","183","2,046","363","882","801","10"
"27","Banning","29,572","203",4,"9","39","151","876","305","443","128","0"
"28","Barstow","23,951","290",2,"18","80","190","1,022","374","418","230","13"
"29","Bear Valley","4,555","2",0,"0","0","2","13","7","6","0","0"
"30","Beaumont","20,715","91",1,"7","14","69","689","157","406","126","2"
"31","Bell","37,859","162",3,"10","64","85","439","126","117","196","0"
"32","Bellflower","75,242","474",5,"16","236","217","2,219","476","1,060","683","13"
"33","Bell Gardens","45,541","281",6,"15","77","183","804","182","243","379","3"
"34","Belmont","24,743","7",0,"2","5","0","563","87","432","44","1"
"35","Belvedere","2,091","1",0,"0","0","1","29","5","22","2","0"
"36","Benicia","26,728","66",0,"7","12","47","496","116","308","72","8"
"37","Berkeley","101,651","646",4,"22","414","206","7,323","1,152","5,096","1,075","36"
"38","Beverly Hills","35,394","135",0,"7","82","46","1,057","273","729","55","4"
"39","Big Bear Lake","6,213","54",0,"5","5","44","274","90","166","18","3"
"40","Biggs","1,819","22",0,"1","0","21","51","24","24","3","0"
"41","Bishop","3,638","15",0,"1","1","13","137","24","107","6","2"
"42","Blue Lake","1,138","25",0,"0","0","25","115","51","53","11","2"
"43","Blythe","22,329","127",0,"4","16","107","707","249","412","46","34"
"44","Bradbury","1,023","0",0,"0","0","0","12","4","5","3","0"
"45","Brawley","22,635","61",0,"4","25","32","1,244","386","680","178","13"
"46","Brea","38,811","77",0,"9","31","37","1,456","225","1,088","143","12"
"47","Brentwood","44,188","123",3,"8","33","79","1,191","208","868","115","32"
"48","Brisbane","3,588","11",0,"0","0","11","122","21","89","12","2"
"49","Broadmoor","4,334","15",0,"0","6","9","116","30","59","27","1"
