"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"1","Adelanto","29,697","242",4,9,"39","190","726","359","273","94","13"
"2","Agoura Hills","22,318","18",0,2,"1","15","240","59","173","8","0"
"3","Alameda","71,016","173",1,15,"74","83","1,964","389","1,360","215","10"
"4","Albany","16,096","37",0,5,"24","8","582","95","392","95","4"
"5","Alhambra","84,987","185",3,8,"82","92","2,075","345","1,460","270","18"
"6","Aliso Viejo","41,989","37",0,4,"8","25","439","87","324","28","3"
"7","Alturas","2,733","5",0,2,"0","3","63","28","30","5","1"
"8","American Canyon","17,507","38",0,2,"20","16","515","100","375","40","1"
"9","Anaheim","338,492","1,161",7,88,"492","574","8,473","1,594","5,869","1,010","47"
"10","Anderson","10,851","77",0,5,"10","62","510","90","394","26","2"
"11","Antioch","102,125","864",13,32,"313","506","3,096","1,087","1,049","960","36"
"12","Apple Valley","71,834","188",2,22,"58","106","1,889","592","1,107","190","14"
"13","Arcadia","56,465","88",1,5,"36","46","1,737","364","1,267","106","3"
"14","Arcata","17,172","40",0,6,"14","20","648","172","444","32","15"
"15","Arroyo Grande","17,358","25",0,3,"5","17","317","76","224","17","2"
"16","Artesia","16,146","64",0,3,"33","28","265","81","140","44","1"
"17","Arvin","15,410","187",0,1,"19","167","500","186","232","82","14"
"18","Atascadero","28,468","79",0,10,"8","61","620","152","435","33","5"
"19","Atherton","7,527","21",0,3,"4","14","136","28","107","1","0"
"20","Atwater","26,495","114",4,6,"23","81","1,128","322","700","106","14"
"21","Auburn","13,432","59",0,7,"14","38","291","60","189","42","5"
"22","Avalon","3,087","24",0,0,"0","24","75","21","38","16","0"
"23","Avenal","16,523","57",2,2,"8","45","143","63","66","14","10"
"24","Azusa","46,824","226",2,11,"63","150","1,136","276","731","129","1"
"25","Bakersfield","333,458","2,104",33,34,"641","1,396","15,197","4,235","8,507","2,455","103"
"26","Baldwin Park","77,127","253",2,8,"102","141","1,752","306","940","506","11"
"27","Banning","29,563","155",3,7,"32","113","546","278","205","63","0"
"28","Barstow","24,704","190",6,8,"45","131","777","263","371","143","13"
"29","Bear Valley","4,655","1",0,1,"0","0","72","9","60","3","0"
"30","Beaumont","37,399","87",0,6,"16","65","781","173","543","65","6"
"31","Bell","36,506","241",1,12,"90","138","601","176","285","140","0"
"32","Bellflower","72,790","415",1,24,"176","214","1,776","413","906","457","7"
"33","Bell Gardens","44,591","210",5,5,"112","88","940","150","391","399","4"
"34","Belmont","24,881","26",0,0,"8","18","367","69","268","30","1"
"35","Belvedere","2,050","0",0,0,"0","0","25","1","21","3","0"
"36","Benicia","26,082","50",1,7,"15","27","471","136","268","67","4"
"37","Berkeley","102,700","533",5,23,"365","140","5,943","1,088","4,240","615","25"
"38","Beverly Hills","34,329","75",3,4,"35","33","985","263","677","45","3"
"39","Big Bear Lake","6,209","28",0,1,"5","22","253","58","190","5","0"
"40","Biggs","1,815","3",0,0,"1","2","28","11","15","2","0"
"41","Bishop","3,412","22",0,2,"3","17","84","19","62","3","0"
"42","Blythe","21,365","77",0,3,"13","61","605","256","332","17","28"
"43","Bradbury","1,092","0",0,0,"0","0","11","6","5","0","0"
"44","Brawley","23,464","53",0,5,"10","38","1,102","354","622","126","11"
"45","Brea","38,725","71",1,3,"28","39","1,471","197","1,200","74","4"
"46","Brentwood","53,312","112",0,6,"41","65","1,117","214","796","107","21"
"47","Brisbane","3,712","5",0,0,"1","4","68","13","47","8","0"
"48","Broadmoor","4,428","14",0,1,"2","11","79","25","45","9","0"
"49","Buellton","4,348","11",1,0,"1","9","78","13","62","3","0"
"50","Buena Park","79,929","241",0,13,"82","146","2,007","355","1,270","382","10"
"51","Burbank","103,304","221",0,13,"98","110","2,687","478","1,933","276","8"
"52","Burlingame","27,838","59",0,5,"20","34","702","108","520","74","1"
"53","Calabasas","22,223","13",0,1,"3","9","321","83","220","18","2"
"54","Calexico","40,186","77",0,5,"34","38","1,429","518","584","327","5"
"55","California City","15,573","56",3,4,"2","47","475","184","257","34","0"
