"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"1","Adelanto","31,165","198",2,NA,15,"52","129","886","381","372","133","17"
"2","Agoura Hills","20,762","19",0,NA,2,"10","7","306","109","185","12","7"
"3","Alameda","76,206","158",0,NA,10,"85","63","1,902","287","1,285","330","17"
"4","Albany","19,104","29",0,NA,1,"24","4","557","94","388","75","7"
"5","Alhambra","84,710","163",1,NA,9,"81","72","1,774","344","1,196","234","7"
"6","Aliso Viejo","50,005","25",0,NA,2,"4","19","315","71","224","20","3"
"7","Alturas","2,681","28",1,NA,4,"2","21","71","23","46","2","0"
"8","American Canyon","20,068","54",0,NA,4,"31","19","510","91","387","32","2"
"9","Anaheim","345,320","1,130",11,NA,82,"437","600","9,611","1,412","6,518","1,681","35"
"10","Anderson","10,098","63",0,NA,8,"9","46","721","147","454","120","5"
"11","Antioch","106,447","946",12,NA,25,"352","557","4,440","1,351","1,872","1,217","57"
"12","Apple Valley","71,159","185",3,NA,12,"58","112","1,594","596","775","223","22"
"13","Arcadia","57,855","77",0,NA,1,"37","39","1,518","376","1,080","62","3"
"14","Arcata","17,805","67",3,NA,7,"15","42","841","147","634","60","14"
"15","Arroyo Grande","17,634","31",0,NA,5,"4","22","455","137","288","30","0"
"16","Artesia","16,734","63",2,NA,0,"28","33","323","91","177","55","1"
"17","Arvin","20,390","153",2,NA,1,"16","134","744","323","308","113","15"
"18","Atascadero","28,938","97",1,NA,12,"24","60","544","119","400","25","7"
"19","Atherton","7,278","10",0,NA,1,"1","8","115","34","78","3","1"
"20","Atwater","28,906","182",1,NA,7,"22","152","1,323","361","804","158","5"
"21","Auburn","13,779","49",0,NA,2,"13","34","302","86","190","26","7"
"22","Avalon","3,777","4",0,NA,0,"2","2","88","13","57","18","1"
"23","Avenal","14,712","62",0,NA,4,"6","52","147","63","67","17","2"
"24","Azusa","47,754","246",2,NA,4,"36","204","1,098","256","671","171","6"
