"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"1",1,"Adelanto","33,005","212",2,"14",NA,"48","148","808","434","254","120","24"
"2",2,"Agoura Hills","20,970","15",0,"1",NA,"6","8","310","82","217","11","0"
"3",3,"Alameda","78,613","148",2,"7",NA,"61","78","1,819","228","1,245","346","18"
"4",4,"Albany","19,723","34",1,"6",NA,"16","11","605","95","447","63","0"
"5",5,"Alhambra3","86,175","168",1,"13",NA,"74","80","1,929","305","1,413","211","6"
"6",6,"Aliso Viejo","50,751","32",0,"5",NA,"3","24","363","53","276","34","1"
"7",7,"Alturas3","2,566","35",0,"13",NA,"2","20","61","9","48","4","4"
"8",8,"American Canyon3","20,687","58",1,"7",NA,"21","29","634","97","493","44","2"
"9",9,"Anaheim3","349,471","1,271",18,"129",NA,"439","685","10,038","1,476","6,893","1,669","28"
"10",10,"Anderson","10,277","88",0,"4",NA,"9","75","474","60","358","56","2"
"11",11,"Antioch","110,537","771",7,"53",NA,"280","431","3,912","862","2,026","1,024","36"
"12",12,"Apple Valley","72,173","234",1,"15",NA,"50","168","1,878","427","1,187","264","14"
"13",13,"Arcadia","58,694","68",1,"6",NA,"31","30","1,272","316","892","64","3"
"14",14,"Arcata3","17,789","54",2,"7",NA,"11","34","670","160","443","67","18"
"15",15,"Arroyo Grande3","18,071","35",0,"2",NA,"6","27","418","83","299","36","0"
"16",16,"Artesia","16,988","84",0,"2",NA,"30","52","468","99","258","111","3"
"17",17,"Arvin","20,902","149",3,"1",NA,"14","131","457","143","201","113","16"
"18",18,"Atascadero3","29,316","90",0,"11",NA,"15","64","475","119","323","33","5"
"19",19,"Atherton","7,205","3",0,"1",NA,"2","0","86","30","54","2","1"
"20",20,"Atwater","29,219","197",3,"8",NA,"26","160","1,099","167","757","175","10"
"21",21,"Auburn","14,118","45",0,"2",NA,"7","36","260","56","178","26","0"
"22",22,"Avalon","3,820","12",0,"2",NA,"1","9","56","12","39","5","0"
"23",23,"Avenal3","12,859","25",2,"1",NA,"4","18","196","58","118","20","0"
"24",24,"Azusa","49,431","173",2,"13",NA,"49","109","1,212","232","784","196","7"
"25",25,"Bakersfield","373,887","1,810",22,"71",NA,"655","1,062","15,559","3,877","9,288","2,394","339"
"26",26,"Baldwin Park3","77,538","299",1,"34",NA,"77","187","1,442","243","868","331","5"
"27",27,"Banning","31,030","197",8,"29",NA,"29","131","608","248","221","139","0"
"28",28,"Barstow","23,700","283",2,"12",NA,"70","199","1,037","447","408","182","15"
"29",29,"Bear Valley3","5,428","5",1,"1",NA,"0","3","67","4","63","0","0"
"30",30,"Beaumont","43,626","138",1,"17",NA,"21","99","887","157","582","148","4"
"31",31,"Bell","36,395","221",1,"17",NA,"70","133","772","194","443","135","0"
"32",32,"Bellflower","78,635","373",1,"21",NA,"152","199","1,825","452","816","557","13"
"33",33,"Bell Gardens3","43,411","137",0,"6",NA,"51","80","782","91","392","299","9"
"34",34,"Belmont","27,377","26",1,"3",NA,"5","17","447","65","341","41","2"
"35",35,"Belvedere","2,144","0",0,"0",NA,"0","0","29","3","25","1","0"
"36",36,"Benicia","28,159","29",0,"7",NA,"8","14","512","112","338","62","8"
"37",37,"Berkeley","120,387","530",1,"44",NA,"330","155","5,906","1,090","4,099","717","22"
"38",38,"Beverly Hills3","35,054","99",1,"9",NA,"40","49","1,236","234","930","72","4"
"39",39,"Big Bear Lake","5,209","54",0,"5",NA,"5","44","248","75","157","16","6"
"40",40,"Biggs3","1,712","24",0,"1",NA,"1","22","28","5","14","9","0"
"41",41,"Bishop3","3,833","38",0,"2",NA,"4","32","105","12","85","8","0"
"42",42,"Blythe","18,961","90",1,"7",NA,"22","60","847","293","529","25","23"
"43",43,"Bradbury","1,097","1",0,"0",NA,"0","1","10","6","3","1","0"
"44",44,"Brawley3","26,023","146",1,"8",NA,"14","123","958","260","654","44","18"
"45",45,"Brea3","42,043","80",0,"2",NA,"31","47","1,257","153","1,035","69","2"
"46",46,"Brentwood","58,398","110",0,"17",NA,"43","50","1,288","158","985","145","7"
"47",47,"Brisbane","4,696","9",0,"1",NA,"1","7","92","36","49","7","0"
"48",48,"Broadmoor","4,382","16",0,"0",NA,"6","10","80","35","29","16","0"
"49",49,"Buellton3","5,097","4",0,"1",NA,"1","2","54","15","39","0","0"
"50",50,"Buena Park3","83,684","237",1,"19",NA,"67","150","2,549","332","1,831","386","5"
"51",51,"Burbank","105,865","159",1,"10",NA,"50","98","2,656","297","2,136","223","13"
"52",52,"Burlingame","30,672","45",1,"6",NA,"11","27","948","192","626","130","2"
"53",53,"Calabasas","24,505","15",0,"5",NA,"9","1","272","57","201","14","2"
"54",54,"Calexico3","40,085","169",0,"2",NA,"41","126","1,567","367","911","289","21"
"55",55,"California City","13,218","121",0,"5",NA,"20","96","516","270","218","28","1"
"56",56,"Calimesa","8,553","17",0,"0",NA,"5","12","291","71","186","34","0"
