"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Adelanto","32,520","199","1","18","45","135","924","397","380","147","15"
"Agoura Hills","20,667","12","0","2","1","9","236","62","158","16","1"
"Alameda","75,467","160","1","9","80","70","1,892","296","1,301","295","18"
"Albany","18,960","35","0","2","26","7","537","116","346","75","4"
"Alhambra","84,469","149","0","2","66","81","1,919","325","1,339","255","9"
"Aliso Viejo","48,999","43","0","0","6","37","415","102","300","13","0"
"Alturas","2,802","36","1","4","3","28","62","22","38","2","3"
"American Canyon","19,873","64","0","8","26","30","616","119","448","49","1"
"Anaheim","344,526","1,279","15","82","440","742","10,070","1,605","7,025","1,440","27"
"Anderson","10,056","87","0","6","11","70","606","144","368","94","1"
"Antioch","105,009","1,068","10","29","372","657","4,757","1,741","1,920","1,096","51"
"Apple Valley","70,823","221","3","7","65","146","1,874","694","977","203","20"
"Arcadia","57,295","57","0","1","22","34","1,388","339","975","74","1"
"Arcata","17,408","54","0","2","20","32","754","165","515","74","7"
"Arroyo Grande","17,568","60","0","1","1","58","358","123","210","25","6"
"Artesia","16,793","60","1","1","27","31","262","70","164","28","1"
"Arvin","19,761","165","3","5","14","143","671","267","317","87","21"
"Atascadero","28,825","192","0","21","10","161","658","160","451","47","9"
"Atherton","7,060","6","0","0","3","3","124","27","97","0","0"
"Atwater","28,891","180","2","8","32","138","1,400","440","773","187","8"
"Auburn","13,787","44","0","5","8","31","249","61","156","32","1"
"Avalon","3,795","13","0","0","3","10","64","11","41","12","0"
"Avenal","15,704","53","1","4","5","43","132","54","66","12","1"
"Azusa","47,111","220","1","6","41","172","1,204","306","737","161","4"
"Bakersfield","355,696","1,929","34","57","697","1,141","17,754","4,994","9,540","3,220","208"
"Baldwin Park","76,644","261","2","5","73","181","1,585","335","861","389","3"
"Banning","30,541","148","2","5","26","115","708","382","251","75","0"
"Barstow","23,188","207","0","17","45","145","843","265","394","184","5"
"Bear Valley","5,282","1","0","0","1","0","92","24","66","2","0"
"Beaumont","38,072","103","0","7","16","80","1,342","192","1,061","89","7"
"Bell","36,062","225","1","9","95","120","662","177","394","91","0"
"Bellflower","77,886","304","6","11","135","152","1,802","417","886","499","12"
"Bell Gardens","42,769","125","3","2","67","53","728","111","308","309","3"
"Belmont","26,389","24","0","4","5","15","408","92","270","46","2"
"Belvedere","2,109","0","0","0","0","0","20","2","18","0","0"
"Benicia","27,459","37","0","3","14","20","390","156","180","54","8"
"Berkeley","114,961","487","5","39","335","108","5,696","971","4,084","641","15"
"Beverly Hills","34,677","89","1","7","35","46","1,081","258","790","33","2"
"Big Bear Lake","5,141","42","1","3","4","34","313","125","170","18","0"
"Biggs","1,724","19","0","0","0","19","34","10","20","4","1"
"Bishop","3,900","16","0","0","0","16","137","31","102","4","0"
"Blythe","21,323","73","1","3","16","53","759","265","491","3","13"
"Bradbury","1,067","0","0","0","0","0","10","6","4","0","0"
"Brawley","25,570","59","0","5","16","38","1,176","395","709","72","6"
"Brea","40,253","74","0","2","23","49","1,292","191","1,052","49","1"
"Brentwood","52,811","99","1","4","42","52","1,185","240","835","110","11"
"Brisbane","4,374","6","0","1","0","5","142","17","110","15","3"
"Broadmoor","4,264","13","0","0","7","6","62","20","31","11","1"
"Buellton","4,908","3","0","1","0","2","93","28","56","9","0"
"Buena Park","82,505","206","1","13","77","115","2,066","342","1,415","309","8"
"Burbank","105,057","243","2","24","111","106","2,493","383","1,911","199","10"
"Burlingame","29,427","61","0","5","8","48","707","133","518","56","5"
"Calabasas","23,442","13","1","5","3","4","238","62","165","11","0"
"Calexico","39,527","108","1","2","37","68","1,538","499","680","359","2"
"California City","14,460","90","3","3","10","74","517","260","234","23","0"
"Calimesa","8,136","13","1","0","2","10","202","61","122","19","0"
"Calistoga","5,266","4","0","0","1","3","64","22","38","4","1"
"Camarillo","66,506","61","0","5","21","35","955","139","767","49","7"
"Campbell","40,339","90","0","18","32","40","1,649","371","1,103","175","18"
"Canyon Lake","10,905","11","0","0","0","11","209","53","129","27","0"
"Capitola","10,085","47","0","2","15","30","541","47","474","20","2"
"Carlsbad","107,879","265","2","26","55","182","2,109","497","1,463","149","7"
"Carmel","3,822","7","0","0","1","6","99","27","69","3","0"
"Carpinteria","13,257","17","0","3","1","13","305","51","228","26","0"
"Carson","93,233","520","7","14","142","357","2,709","601","1,558","550","12"
"Cathedral City","52,867","204","2","10","68","124","1,576","626","653","297","10"
"Ceres","46,167","183","0","15","55","113","1,940","394","1,185","361","11"
"Cerritos","49,856","120","0","7","67","46","1,870","441","1,253","176","10"
"Chico","87,090","282","1","46","95","140","2,291","778","1,259","254","49"
"Chino","79,792","291","1","9","52","229","2,116","562","1,319","235","5"
"Chino Hills","76,632","64","0","2","22","40","956","350","541","65","3"
"Chowchilla","19,221","115","0","2","6","107","446","207","208","31","3"
"Chula Vista","249,830","581","8","33","227","313","5,081","926","3,153","1,002","26"
"Citrus Heights","85,112","329","2","13","100","214","3,117","625","2,017","475","6"
"City of Angels","3,826","14","0","1","3","10","86","43","37","6","1"
"Claremont","35,469","40","0","5","19","16","901","227","611","63","7"
"Clayton","11,179","9","0","3","2","4","104","31","67","6","1"
"Clearlake","15,311","170","2","20","26","122","675","273","319","83","18"
"Cloverdale","8,775","6","0","2","3","1","157","34","106","17","1"
"Clovis","97,828","219","3","34","57","125","4,025","955","2,685","385","11"
"Coachella","42,034","265","5","9","67","184","1,547","424","780","343","10"
"Coalinga","13,669","188","0","9","7","172","476","146","293","37","28"
"Colma","1,832","7","0","0","5","2","287","64","214","9","0"
"Colton","53,431","189","0","10","84","95","1,907","526","1,027","354","8"
"Colusa","6,065","11","1","2","5","3","170","71","92","7","0"
"Commerce","13,035","112","1","2","53","56","1,010","130","616","264","4"
"Compton","98,057","1,218","21","33","428","736","2,399","574","1,006","819","40"
"Concord","125,205","402","0","19","153","230","4,182","829","2,694","659","17"
"Corcoran","25,119","89","0","4","5","80","328","83","209","36","2"
"Corning","7,751","51","0","4","7","40","281","68","184","29","1"
"Corona","157,342","210","1","17","102","90","4,143","861","2,766","516","30"
"Coronado","19,345","20","3","3","0","14","504","117","367","20","3"
